english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Brassy kingfish,Caranx papuensis,Brons koningvis,Caranx papuensis.jpg,Fork length,5,No limit,Open all year,64 cm,64 cm,0 cm,51 cm,41 cm,10 kg,RED,Map22.jpg,"This species is associated with seaward reefs and lagoons, occasionally entering rivers.  Closely resembles the Bluefin kingfish, but lacks the blue on the fins.  A non-migratory species, feeding primarily on fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Namibia
Bridle triggerfish,Sufflamen fraenatum,Toom-snellervis,Sufflamen fraenatum.jpg,Total length,10,No limit,Open all year,35 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,"Inhabit coastal rocky reefs, often silty habitats and in lagoons on open sand.  Found over sand and rubble patches of seaward reefs.  Feed on echinoderms, fish, molluscs, crustaceans, algae and worms.  Occurs from Mozambique to Port Edward",Salt,From Durban to Namibia
Brindle bass,Epinephelus lanceolatus,Briekwabaars,Epinephelus lanceolatus.jpg,Total length,Not allowed,Not allowed,Permanently closed,205 cm,0 cm,0 cm,0 cm,0 cm,196 kg,RED,Map22.jpg,"Brindle bass is a truly massive fish, attaining a maximum length about 270cm.  It is the largest bony fish found in coral reefs and is common in shallow waters.  Found in caves or wrecks and also in estuaries.  Individuals more than a meter long have been caught from shore and in harbours.  Feed on spiny lobsters, fish, including small sharks and rays.  In South African estuaries the main prey item is the mud crab.  Large individuals may be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Durban to Namibia
Bronze bream,Pachymetopon grande,Bruin hottentot / Pens-en-derms,Pachymetopon grande.jpg,Fork length,2,30 cm,Open all year,56 cm,56 cm,47 cm,52 cm,42 cm,3.15 kg,RED,Map11.jpg,"Maximum length is about 65cm and can grow to up to 5kg, but most specimens caught are less than 3kg.  Old specimens develop a marked blue patch between the eyes.  Found near rocks in shallow coastal waters.  Most common between Transkei and Port Elizabeth.  Feed in white water, but are sensitive to changes in water condition such as turbidity and temperature.  Bronze bream can be difficult to catch as they can remove bait from a hook very quickly.  They are sensitive feeders and light tackle and small hooks are best when targeting them.  Mostly targeted with prawns, but will also take soft fish bait such as sardine.  Flesh is quite tasty, although very fatty.  Occurs from Kozi Bay to Mossel Bay",Salt,From Cape to Namibia
Brown shyshark,Haploblepharus fuscus,Bruin skaamoog,Haploblepharus fuscus.jpg,Total length,1,No limit,Open all year,62 cm,62 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map3.jpg,"This is the largest of the shyshark species.  Usually plain yellowish-brown above becoming just yellowish below with small lighter spots and indistinct brown saddles in some specimens.  Found close inshore on the continental shelf, often in shallow, rocky areas.  Feeds on lobsters, crabs and small bony fish.  Occurs from Durban to False Bay",Salt,From Mozambique to Port Edward
Brown Trout,Salmo trutta,Bruin forel,Salmo trutta.jpg,Total length,No limit,No limit,Open all year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Mozambique to Knysna.
Bull / Zambezi shark (Female),Carcharhinus leucas,Bul / Zambezi haai,Carcharhinus leucas.jpg,Pre-caudal length,1,No limit,Open all year,245 cm,158 cm,0 cm,178 cm,142 cm,280 kg,ORANGE,Map19.jpg,"A large shark species growing to well over 300kg.  It is a coastal and freshwater shark inhabiting shallow, warmer waters in bays, estuaries, rivers, and lakes.  Can cover up to 180 kilometers in 24 hours.  Adults often near estuaries and freshwater inflows to the sea.  Feeds on almost anything including bony fish, other sharks, rays, mammalian carrion, sea turtles and garbage.  Probably the most dangerous species of tropical shark.  Repeatedly implicated in attacks on humans.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Port Elizabeth
Bull / Zambezi shark (Male),Carcharhinus leucas,Bul / Zambezi haai,Carcharhinus leucas.jpg,Pre-caudal length,1,No limit,Open all year,245 cm,158 cm,0 cm,178 cm,142 cm,280 kg,ORANGE,Map19.jpg,"A large shark species growing to well over 300kg.  It is a coastal and freshwater shark inhabiting shallow, warmer waters in bays, estuaries, rivers, and lakes.  Can cover up to 180 kilometers in 24 hours.  Adults often near estuaries and freshwater inflows to the sea.  Feeds on almost anything including bony fish, other sharks, rays, mammalian carrion, sea turtles and garbage.  Probably the most dangerous species of tropical shark.  Repeatedly implicated in attacks on humans.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Namibia
Bull ray / Duckbill,Pteromylaeus bovinus,Bulrog,Pteromylaeus bovinus.jpg,Disc width,1,No limit,Open all year,192 cm,165 cm,92 cm,178 cm,138 cm,Not listed,ORANGE,Map20.jpg,"Disc brown above with pale blue-grey crossbars.  Attains a maximum disc width of about 175cm.  Found in coastal tropical and warm temperate waters, occasionally offshore.  Sometimes found in small groups.  Feed on bottom-living crustaceans and molluscs.  Prized angling species which is often hooked by shore anglers, putting up a strong fight.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Mossel Bay
Bumpnose kingfish,Carangoides hedlandensis,Knopneus-koningvis,Carangoides hedlandensis.jpg,Fork length,5,No limit,Open all year,35 cm,0 cm,0 cm,35 cm,28 cm,Not listed,RED,Map16.jpg,Greenish blue above and silvery grey below.  Blackish mark on gill plate with a yellowish tail fin.  Attains about 35cm.  Inhabits coastal waters of the continental shelf and is usually associated with reefs.  Occurs from Mozambique to Durban,Salt,From Mozambique to East London
Cape gurnard,Chelidonichthys capensis,Kaapse knorhaan,Chelidonichthys capensis.jpg,Fork length,10,No limit,Open all year,56 cm,50 cm,0 cm,0 cm,0 cm,4.15 kg,GREEN,Map21.jpg,Found over sandy and muddy bottoms in coastal areas in depths ranging from 10m to 390m.  Feeds on fish and crustaceans.  It is an excellent food fish and can attain a maximum length of about 70cm.  Important commercial species caught mainly by trawlers.  Occurs from Mozambique to Namibia,Salt,From Mozambique to False Bay
Cape knifejaw,Oplegnathus conwayi,Kaapse kraaibek,Oplegnathus conwayi.jpg,Fork length,5,No limit,Open all year,68 cm,52 cm,0 cm,0 cm,0 cm,4.8 kg,RED,Map10.jpg,Found in coastal waters down to a depth of about 150 m.  Adults found near reefs while juveniles are found near floating objects.  Feed on benthic invertebrates and algae.  May live for more than 10 years.  Spawning occurs throughout the year.  Rarely hooked but easily speared.  Occurs from Kosi Bay to False Bay,Salt,From Mozambique to Port Edward
Cape moony,Monodactylus falciformis,Kaapse maanskynvis,Monodactylus falciformis.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map18.jpg,"A gregarious species that is commonly found in small shoals around jetties, wharfs and harbours reefs.  Inhabits coastal waters including estuaries and lagoons.  Feeds on planktonic organisms.  Seldom enters freshwater.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Edward
Cape stumpnose,Rhabdosargus holubi,Kaapse stompneus,Rhabdosargus holubi.jpg,Fork length,5,20 cm,Open all year,42 cm,36 cm,0 cm,34 cm,32 cm,Not listed,RED,Map15.jpg,"The Cape Stumpnose closely resembles the Natal Stumpnose, but can be distinguished by the yellow line running along its sides.  It can grow to up to 2kg but are usually much smaller.  Inhabits estuaries and shallow waters over sand and between rocks.  Abundant in many estuaries where it is a favourite species of young anglers on ultra-light tackle taking almost any bait.  Feeds mainly on small bivalves, shrimps and crabs.  Flesh is excellent, although most specimens are much too small.  Occurs from Mozambique to Cape Agulhas",Salt,From Mozambique to Namibia
Carp,Cyprinus carpio,Karp,Cyprinus carpio.jpg,Fork length,No limit,No limit,Open all year,28 kg,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,"Carp is widespread throughout southern Africa.  Carp was introduced as early as the 1700s, with several other importations during the 1800s.   Carp can grow very large, the world angling record being in excess of 34kg.  The South African record is 22kg.  It is an omnivorous species, feeding on a large variety of plant and animal matter.  It is tolerant of a wide variety of conditions.  It occurs naturally in central Asia and the Danube river in Europe.",Fresh,From Mozambique to Namibia
Carpenter / Silverfish,Argyrozona argyrozona,Kapenaar / Silwervis,Argyrozona argyrozona.jpg,Fork length,4,35 cm,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,4.06 kg,ORANGE,Map28.jpg,Carpenter is an endemic species to South Africa.  Fish caught are usually less than 1kg.  Live specimens have a light pink colour which fades to silver after death.  Adults are found over deeper reefs while juveniles occur over shallower inshore reefs.  A typically resident species although nomadic behaviour have been noted with migrations of more than 100km.  An important catch of recreational and commercial ski boats.  The flesh is excellent.  Occurs from Port Edward to False Bay,Salt,From Mozambique to Port Elizabeth
Catface rockcod,Epinephelus andersoni,Katgesig-klipkabeljou,Epinephelus andersoni.jpg,Total length,5 and maximum of 5 species per day.,50 cm,Open all year,76 cm,72 cm,68.5 cm,66 cm,53 cm,7.5 kg,ORANGE,Map19.jpg,"Adults inhabit reefs and rocky bottom areas to a depth of at least 50m while juveniles are found in tidal pools.  Feed on fish, spiny lobsters and crabs.  Sexual maturity is attained at about 60cm and reaches about 80cm.  Mostly residential in a specific area, but some individuals have been recorded making long migrations of more than 400km.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Namibia
Cavebass,Dinoperca petersi,Spelonkbaars,Dinoperca petersi.jpg,Total length,10,No limit,Open all year,68 cm,65 cm,55 cm,50 cm,36 cm,5.1 kg,NOT LISTED,Map20.jpg,"""Blackish brown in colour","body with white specks which fade in adults.  Black band from front of snout to angle of preopercle.  Adults inhabit reefs to a depth of 50m while juveniles occur along rocky shores.  Also found under ledges and cave entrances.  Makes a loud drumming sound.  Occurs from Mozambique to Mossel Bay""",Salt,From Mozambique to East London
Clown triggerfish,Balistoides conspicillum,Nar-snellervis,Balistoides conspicillum.jpg,Total length,10,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map16.jpg,"Occurs in clear coastal waters over outer reef habitats.  A solitary species, which is uncommon to rare throughout most of its range.  Adults usually seen along deep drop-offs, swimming about openly and may retreat to caves when approached.  Juveniles secretive in small caves.  Diet consists of sea urchins, crabs and other crustaceans and molluscs.  Among the most popular aquarium fishes.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Durban",Salt,From Durban to Namibia
Cock grunter,Pomadasys multimaculatum,Haan-knorder,Pomadasys multimaculatum.jpg,Fork length,10,No limit,Open all year,76 cm,76 cm,74 cm,64 cm,51 cm,Not listed,NOT LISTED,Map22.jpg,Darkish silver above with 4 stripes along the body.  Maximum length attained is about 75cm.  Inhabits coastal waters but also plentiful in tidal estuaries.  Not eaten around the Island of Mozambique because the inhabitants believe it is responsible for leprosy.  Occurs from Mozambique to Port Elizabeth,Salt,From Mozambique to Mossel Bay
Common / Dusky kob,Argyrosomus japonicus,Gewone kabeljou,Argyrosomus japonicus.jpg,Total length,East of Cape Agulhas: 1.  West of Cape Agulhas: 5,East of Agulhas: 60cm.  West of Agulhas: 50cm,Open all year,170 cm,163 cm,162 cm,163 cm,163 cm,55.3 kg,ORANGE,Map21.jpg,"Occurs along the eastern African coast, southern Australia, the northern Indian Ocean and north-west coast of India, along the Chinese coast to southern Korea and Japan.  Two species of easily mistaken kob species occur in South African waters, namely the dusky or common kob and the silver kob.  The two species are almost impossible to distinguish anatomically.  They differ in preferred habitat and distribution, hence the difference in size and bag limits depending on location and whether caught from the shore or from a boat.  It is an important and prized angling species in South Africa caught both from shore and boat.  While also similar to the Geelbek, common kob does not have the yellow inside the mouth and gills like the Geelbek.  Adults frequent estuaries and the surf-zone down to 100m.  Juveniles frequent estuaries.  Mature specimens migrate from Cape to Kwa-Zulu Natal waters to spawn during summer.  Age at maturity is between 5 and 6 years or 100cm.  Maximum age is about 40 years and maximum weight is around 75kg.  Kob will take most baits, including artificial and live bait.  This species has been heavily overexploited and catches have dwindled over the years.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Elizabeth
Concertina fish,Drepane longimanus,Konsertinavis,Drepane longimanus.jpg,Total length,10,No limit,Open all year,40 cm,35 cm,0 cm,40 cm,30 cm,Not listed,NOT LISTED,Map17.jpg,"Found inshore over sand or mud bottoms, reefs, estuaries and harbours.  Maximum depth for this species is less than 50 m.  Feeds on benthic invertebrates.  Breeds close inshore during spring.  Flesh edible, but not esteemed.  Occurs from Mozambique to East London",Salt,From Mozambique to East London
Copper / Bronze shark (Female),Carcharhinus brachyurus,Koper / Bronshaai,Carcharhinus brachyurus.jpg,Pre-caudal length,1,No limit,Open all year,250 cm,202 cm,170 cm,214 cm,171 cm,84.5 kg,ORANGE,Map4.jpg,"Found along continental margins in most tropical and temperate seas.  Occasionally enters large coastal bays and inshore areas.  Feeds on pelagic and bottom bony fish, cephalopods, and small sharks and rays.  Feeds on or near the seabed.  Possibly two separate populations in southern Africa.  It is a strong fighter and is a favourite shark species amongst recreational and competitive anglers.  Strong tackle with wire trace and large hooks are used to target this species with fish heads or whole fish such as mullet or karanteen being the preferred bait.  Migrates to the northern-most part of its range during winter following the annual sardine run.  Have been implicated in attacks on humans.  Occurs from Durban to Namibia",Salt,From Mozambique to Port Edward
Copper / Bronze shark (Male),Carcharhinus brachyurus,Koper / Bronshaai,Carcharhinus brachyurus.jpg,Pre-caudal length,1,No limit,Open all year,250 cm,202 cm,170 cm,214 cm,171 cm,84.5 kg,ORANGE,Map4.jpg,"Found along continental margins in most tropical and temperate seas.  Occasionally enters large coastal bays and inshore areas.  Feeds on pelagic and bottom bony fish, cephalopods, and small sharks and rays.  Feeds on or near the seabed.  Possibly two separate populations in southern Africa.  It is a strong fighter and is a favourite shark species amongst recreational and competitive anglers.  Strong tackle with wire trace and large hooks are used to target this species with fish heads or whole fish such as mullet or karanteen being the preferred bait.  Migrates to the northern-most part of its range during winter following the annual sardine run.  Have been implicated in attacks on humans.  Occurs from Durban to Namibia",Salt,From Mozambique to Port Elizabeth
Cutlass fish,Trichiurus lepturus,Haarstert vis,Trichiurus lepturus.jpg,Total length,No limit,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,3.2 kg,NOT LISTED,Map18.jpg,Generally found over muddy bottoms of shallow coastal waters and estuaries.  Adults feed mainly on fish and occasionally on squids and crustaceans.  Large adults usually feed near the surface during the daytime and migrate to the bottom at night.  Occurs from Mozambique to False Bay,Salt,From East London to Namibia
Cutthroat emperor,Lethrinus mahsena,Bloednek-keiser,Lethrinus mahsena.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map16.jpg,"""Body colour is yellow to greenish-blue, becoming lighter ventrally","usually with nine or ten dusky yellow-green or brown bars.  The head is purplish gray, sometimes with a red blotch on the nape with a red bar at the base of the pectoral fin.  Found over reef areas and adjacent sandy and seagrass areas.  Feeds mainly on echinoderms (most frequently sea urchins), crustaceans and fish.  Occurs from Mozambique to Durban""",Salt,From Mozambique to Knysna
Dageraad,Chrysoblephus cristiceps,Dageraad,Chrysoblephus cristiceps.jpg,Fork length,1,40 cm,Open all year,67 cm,0 cm,0 cm,0 cm,0 cm,8.7 kg,ORANGE,Map3.jpg,"Although it can grow in excess of 5kg, usual catches are around 2kg.  Body colour reddish-pink with shades of gold, bronze, white and blue.  Has a dark spot at the end of the dorsal fin.  Found offshore over reefs at depths of 20 to 100m.  Most abundant during summer months around deeper reefs that are not often fished.  Most common between Cape Infanta to Cape St Francis.  Waves of different colours pass over the body at death.  Very rarely caught from the shore.  Occurs in shoals and is targeted with a variety of bait including soft fish bait such as sardine or mackerel, squid, octopus or crab.  Stocks have been significantly reduced through over-exploitation.  Flesh is excellent.  Occurs from Durban to False Bay",Salt,From Mozambique to Port Elizabeth
Dane,Porcostoma dentata,Deen,Porcostoma dentata.jpg,Fork length,5,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map19.jpg,"Upper body orange-red, fading to an almost white belly.  Bright red spot at the base of the pectoral fin.  Known only from southern Africa and occurs most commonly between Mozambique and Durban.  Forms loose schools over deeper reefs.  Feeds on crabs, worms, mantis shrimps and feather stars.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Port Edward
Dark shyshark,Haploblepharus pictus,Donker skaamhaai,Haploblepharus pictus.jpg,Total length,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map8.jpg,"A shyshark with dark markings and large lighter spots without black edges on a yellowish-brown body and on fins.  Body also with 7 dark brown or blackish dorsal saddles.  Inhabits the continental shelf, in inshore waters.  Most common in shallow sandy areas.  Feeds on small bottom-dwelling fish, crustaceans, and cephalopods.  Occurs from False Bay to Namibia",Salt,From Mozambique to Transkei
Diamond / Butterfly ray,Gymnura natalensis,Rem-vlinderrog / Diamantrog,Gymnura natalensis.jpg,Disc width,1,No limit,Open all year,224 cm,206 cm,210 cm,198 cm,158 cm,Not listed,ORANGE,Map21.jpg,"Occurs off sandy beaches, muddy estuaries and offshore banks.  Found singly or in large groups.  Feeds on a variety of fish, crabs and worms.  Ability to change markings and colour to blend with the environment.  Often caught by shore anglers especially along the Zululand coast during summer when they often aggregate in large numbers.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Mossel Bay
Dorado / Dolphin fish,Coryphaena hippurus,Dorade,Coryphaena hippurus.jpg,Fork length,10,No limit,Open all year,110 cm,90 cm,0 cm,106 cm,85 cm,31.6 kg,GREEN,Map35.jpg,"Dorado occur worldwide and is a much sought after game fish.  Mature males have a prominent bony crest in front of the head.  The colour is striking with golden hues, metallic blues and greens.  Small specimens have pronounced vertical bars on the sides of the body.  Prefers warm surface temperatures.  Can grow to more than 40kg.  Most commonly caught using small to medium artificial lures.  Forms schools and feeds on almost all forms of fish and zooplankton, crustaceans and squid.  Regarded as one of the tastiest of the pelagic gamefish.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Namibia
Double-spotted queenfish,Scomberoides lysan,Dubbelkol-koninginvis,Scomberoides lysan.jpg,Fork length,10,No limit,Open all year,56 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"Found only in relatively clear water.  Adults found over clear lagoon and seaward reefs, while juveniles prefer shallow inshore and brackish waters.  Mainly solitary but sometimes forms small loose groups.  Adults feed on small fish and crustaceans while juveniles feed on scales torn from schooling fish.  Occurs from Mozambique to Transkei",Salt,From Mozambique to East London
Dusky / Ridgeback Grey shark,Carcharhinus obscurus,Donkerhaai,Carcharhinus obscurus.jpg,Pre-caudal length,1,No limit,Open all year,258 cm,164 cm,86 cm,200 cm,160 cm,308 kg,ORANGE,Map23.jpg,"Found in coastal and offshore waters but not an oceanic species.  Primarily found on the eastern seaboard with possible occurrence along the West Coast.  A seasonal migratory species over parts of its range.  Feeds on bottom and pelagic bony fish, sharks, skates, rays, and sometimes mammalian carrion.  Have been implicated in attacks on humans.  Occurs from Mozambique to Saldanha Bay",Salt,From Mozambique to Knysna
Dusky rubberlip,Plectorhinchus chubbi,Donker rubberlip,Plectorhinchus chubbi.jpg,Fork length,10,No limit,Open all year,78 cm,56 cm,0 cm,56 cm,45 cm,9.79 kg,NOT LISTED,Map22.jpg,"A relatively rare species that is found in coastal areas near reefs.  Overall grey or bronzy with no distinct marks except for a noticeable large eye.  Juveniles are found in shallow weedy areas.  Omnivorous, feeding on crabs, juvenile fish, shrimps and marine worms.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Durban
Eagle ray,Myliobatus aquila,Arendrog,Myliobatus aquila.jpg,Disc width,1,No limit,Open all year,147 cm,147 cm,88 cm,96 cm,77 cm,Not listed,ORANGE,Map21.jpg,"Disc chocolate-brown to black above with no prominent markings.  Attains a maximum disc width of about 150cm.  Found in shallow lagoons, bays and estuaries and also offshore down to at least 100m.  Often found in groups and commonly caught by shore anglers.  Feeds on benthic crustaceans, molluscs and fish.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Elizabeth
Eastern little tuna / Kawakawa,Euthynnus affinis,Oostelike kleintuna,Euthynnus affinis.jpg,Fork length,10,No limit,Open all year,80 cm,78 cm,0 cm,79 cm,63 cm,11 kg,NOT LISTED,Map22.jpg,"Occurs in open waters but always remains close to the shoreline.  The young may enter bays and harbours.  Forms multi-species schools by size with other tuna and bonito species comprising from 100 to over 5,000 individuals.  A highly opportunistic predator feeding indiscriminately on small fish, squids, crustaceans and zooplankton.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Cape Agulhas
Eel catfish,Plotosus nkunga,Baberpaling,Plotosus nkunga.jpg,Total length,10,No limit,Open all year,70 cm,70 cm,0 cm,66 cm,53 cm,Not listed,NOT LISTED,Map19.jpg,A species commonly caught from the shore in Southern Africa.  Found in estuaries and along open coasts.  Feeds mainly on benthic invertebrates.  Spines are venomous and produce painful wounds.  Immersion of the wound in hot water will destroy the venom.  The flesh is excellent.  Occurs from Mozambique to Knysna,Salt,From Mozambique to Port Elizabeth
Elephant fish / St Joseph,Callorhinchus capensis,Josef,Callorhinchus capensis.jpg,Total length,1,No limit,Open all year,98 cm,80 cm,95 cm,84 cm,67 cm,5.25 kg,NOT LISTED,Map4.jpg,"Abundant off the west coast and southeastern Cape but uncommon off Natal.  Found from close inshore and shallow bays to the slope.  Feeds on sea urchins, bivalves, shrimp, crabs, mantis shrimp, isopods, gastropods, and small fish (dragonets).  Flesh is considered a delicacy.  Spines are venomous and should be handled with care.  Occurs from Durban to Namibia",Salt,From Mozambique to Transkei
Elf / Shad,Pomatomus saltatrix,Elf,Pomatomus saltatrix.jpg,Fork length,4,30 cm,1 October - 30 November,89 cm,84 cm,66 cm,75 cm,60 cm,4.09 kg,ORANGE,Map21.jpg,"""Also known as Bluefish in the United States and Tailor in Australia, shad is found worldwide in tropical to subtropical waters","except the eastern Pacific.  Most common along surf beaches in clean, high energy waters.  It is also found in estuaries.  Adults form loose groups, often attacking shoals of mullets or other fish.  Feeds on fish, crustaceans and cephalopods.  Voracious and aggressive and reported to bite when handled.  Migrate to warmer water during winter and cooler water in summer.  Popular game fish with the world angling record being 14kg, but most shad caught in South Africa are less than 2kg.  They are particularly active at dusk and dawn.  Shad is one of the most sought after shore angling species, and can be targeted with a variety of baits, particular fish baits such as pilchard or fish fillet.  A wire trace should be used when targeting shad.  The flesh is excellent.  Occurs from Mozambique to Namibia""",Salt,From Mozambique to East London
Englishman,Chrysoblephus anglicus,Engelsman,Chrysoblephus anglicus.jpg,Fork length,1,40 cm,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,7 kg,ORANGE,Map22.jpg,"An endemic species found off southern Mozambique to Algoa Bay.  Found offshore over reefs.  May occur singly or in small groups.  Feeds on crabs, hermit crabs, shrimps, bivalve molluscs, squid and sometimes other small fish.  Attains a maximum length of about 100cm.  Most abundant off Sodwana and Mozambique.  Important catch of commercial and recreational ski boat fishery on the south coast.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Knysna
Evileye blaasop,Amblyrhynchotes honckenii,Duiwelsoog blaasop,Amblyrhynchotes honckenii.jpg,Total length,No limit,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map18.jpg,"Dorsal surface blackish brown with large yellowish white spots.  Common in tidal pools, estuaries, and in the sea to depths of 400m.  Attains about 30cm.  Very poisonous and not touched by fish and sea birds.  Hands should be washed after handling this fish.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Edward
Flathead mullet,Mugil cephalus,Platkop-harder,Mugil cephalus.jpg,Fork length,50,No limit,Open all year,60 cm,0 cm,0 cm,0 cm,0 cm,4.5 kg,NOT LISTED,Map21.jpg,"Attains a maximum length of about 100cm.  Cosmopolitan in coastal waters of the tropical, subtropical and temperate zones of all seas.  Coastal species that often enter estuaries and rivers.  Can be distinguished from other mullet species by the adipose eyelids.  Usually in schools over sand or mud bottoms.  Widely cultivated in aquaculture.  Good bait for predatory fish species.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Knysna
Fransmadam,Boopsoidea inornata,Fransmadam / Karelgrootoog,Boopsoidea inornata.jpg,Fork length,10,No limit,Open all year,25 cm,25 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map28.jpg,"Known only from the Cape to Natal in South Africa.  Occurs usually in the vicinity of scattered and flat reefs from 5 to 30m.  Found in shoals.  Feeds on small crabs, worms, red bait and small pieces of seaweeds.  Good food fish but spoils rapidly.  Good bait for larger game fish.  Occurs from Port Edward to False Bay",Salt,From Mozambique to Namibia
Galjoen,Dichistius capensis,Galjoen,Dichistius capensis.jpg,Fork length,2,35 cm,15 October - 28 February,67 cm,65 cm,51.5 cm,62 cm,50 cm,1.83 kg,RED,Map4.jpg,"One of the most popular angling species in the western and south-western Cape.  Best time of year is regarded as winter in the western and south-western Cape and spring time in the Eastern Cape and Transkei regions.  It can grow to more than 5kg, although such specimens are extremely rare these days.  Galjoen has the ability to change from black to silver almost instantly to blend with their environment.  Occasionally they are mottled or with 7-9 crossbars.  Found over inshore reefs, rocky and sandy areas.  Feeds on molluscs, crustaceans, and other invertebrates.  Prefers cooler water and is targeted in foamy white water with a rocky bottom.  Most fish are resident in a specific area.  Rare along the Kwa-Zulu Natal coast.  Breeding occurs in deeper water.  The galjoen is becoming scarce because of overfishing.  Occurs from Durban to Namibia",Salt,From Mozambique to False Bay
Geelbek,Atractoscion aequidens,Geelbek,Atractoscion aequidens.jpg,Fork length,2,60 cm,Open all year,106 cm,97 cm,97 cm,87 cm,70 cm,14.89 kg,ORANGE,Map10.jpg,"Geelbek are very similar to the common or dusky kob.  However, it is easily identified by the yellow inside of the mouth and gills.  The form of the tail is also different with the geelbek having a concavely rounded tail.  Body silvery and inside of mouth and gill cavity yellow.  Attains a length of 130cm or more and weights in excess of 20kg.  Found in coastal waters, over sand muddy bottom.  Juveniles enter estuaries.  Adults feed on pelagic fish such as mackerel and horse mackerel at night.  An important game and commercial fish which feeds mostly close to the bottom.  They are mostly targeted with soft fish bait such as sardine or mackerel, but also with squid or octopus.  The flesh is excellent.  Occurs from Kosi Bay to False Bay",Salt,From Mozambique to Durban
Giant guitarfish / Giant sandshark,Rhynchobatus djiddensis,Reuse sandkruiper,Rhynchobatus djiddensis.jpg,Total length,1,No limit,Open all year,280 cm,218 cm,247 cm,205 cm,164 cm,92 kg,ORANGE,Map19.jpg,"Giant guitarfish grows to more than 100kg.  A large guitarfish with large black eyespots on the pectoral bases, a distinctive black cross between the eyes, and rows of small white spots on the upper body.  Occurs inshore and in shallow estuaries.  Feeds on crabs, lobsters, bivalves, small fish and squids.  Considered an important gamefish throughout its range.  Targeted using primarily fish bait, but will take other bait such as squid.  Migrates into KwaZulu-Natal waters during summer.  Occurs from Mozambique to Knysna.",Salt,From Mozambique to Transkei
Giant kingfish,Caranx ignobilis,Reuse koningvis,Caranx ignobilis.jpg,Fork length,5,No limit,Open all year,139 cm,129 cm,105 cm,119 cm,95 cm,46.5 kg,RED,Map22.jpg,"A prized and important recreational game fish worldwide growing to more than 60kg.  It is the largest of the kingfish family and is common in tropical and subtropical marine environments.  Juveniles are found in estuarine systems.  It is an aggressive predator feeding on fish.  Smaller fish move in shoals with very large specimens being loners.  Mainly a summer fish, with some individuals being caught during the sardine run during winter.  It is a very strong fighter that is targeted with live bait, spoons and plugs and mostly caught off the Mozambique and KZN coastline.  Large individuals may be ciguatoxic and is generally not considered to be a good eating fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Transkei
